"Genus.x","Species.x","Genus.y","Species.y","fuzzy_species_dist"
"Protium","almacega","Protium","almecega",1
"Protium","almecago","Protium","almecega",2
"Protium","almecega","Protium","almacega",1
"Protium","almecega","Protium","almecago",2
"Protium","ambrosiaca","Protium","ambrosiacum",2
"Protium","ambrosiacum","Protium","ambrosiaca",2
"Protium","apiculatum","Protium","paniculatum",2
"Protium","aracouchili","Protium","aracouchini",1
"Protium","aracouchini","Protium","aracouchili",1
"Protium","beandon","Protium","beandou",1
"Protium","beandou","Protium","beandon",1
"Protium","caudatum","Protium","cordatum",2
"Protium","cordatum","Protium","caudatum",2
"Protium","cordatum","Protium","cornutum",2
"Protium","cornutum","Protium","cordatum",2
"Protium","crassifolia","Protium","crassifolium",2
"Protium","crassifolium","Protium","crassifolia",2
"Protium","crenatum","Protium","cuneatum",2
"Protium","crenatum","Protium","ternatum",2
"Protium","cuneatum","Protium","crenatum",2
"Protium","cuneatum","Protium","cupreatum",2
"Protium","cupreatum","Protium","cuneatum",2
"Protium","divaricata","Protium","divaricatum",2
"Protium","divaricatum","Protium","divaricata",2
"Protium","gallicum","Protium","gallosum",2
"Protium","gallicum","Protium","pallidum",2
"Protium","gallosum","Protium","gallicum",2
"Protium","glabrescens","Protium","glaucescens",2
"Protium","glabrum","Protium","glaucum",2
"Protium","glaucescens","Protium","glabrescens",2
"Protium","glaucum","Protium","glabrum",2
"Protium","guianense","Protium","guianensis",2
"Protium","guianensis","Protium","guianense",2
"Protium","heptaphylla","Protium","heptaphyllum",2
"Protium","heptaphyllum","Protium","heptaphylla",2
"Protium","llewelyni","Protium","llewelynii",1
"Protium","llewelynii","Protium","llewelyni",1
"Protium","macgregori","Protium","macgregorii",1
"Protium","macgregorii","Protium","macgregori",1
"Protium","martiana","Protium","martianum",2
"Protium","martianum","Protium","martiana",2
"Protium","montanum","Protium","tonyanum",2
"Protium","multiflora","Protium","multiflorum",2
"Protium","multiflorum","Protium","multiflora",2
"Protium","nitida","Protium","nitidum",2
"Protium","nitidum","Protium","nitida",2
"Protium","opacum","Protium","ovatum",2
"Protium","ovatum","Protium","opacum",2
"Protium","pallidum","Protium","gallicum",2
"Protium","panamense","Protium","paraense",2
"Protium","paniculatum","Protium","apiculatum",2
"Protium","paraense","Protium","panamense",2
"Protium","polybotrya","Protium","polybotryum",2
"Protium","polybotryum","Protium","polybotrya",2
"Protium","roxburghiana","Protium","roxburghianum",2
"Protium","roxburghianum","Protium","roxburghiana",2
"Protium","serratum","Protium","ternatum",2
"Protium","surinamense","Protium","surinamensis",2
"Protium","surinamensis","Protium","surinamense",2
"Protium","tacahamaca","Protium","tacamahaca",2
"Protium","tacamahaca","Protium","tacahamaca",2
"Protium","ternatum","Protium","crenatum",2
"Protium","ternatum","Protium","serratum",2
"Protium","tonyanum","Protium","montanum",2
"Protium","trifoliolatum","Protium","unifoliolatum",2
"Protium","unifoliatum","Protium","unifoliolatum",2
"Protium","unifoliolatum","Protium","trifoliolatum",2
"Protium","unifoliolatum","Protium","unifoliatum",2
